0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
-1,w,w,w,w,w,w,w,w,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,w,w,w,w,w,w,w,w,w,w
-2,w,w,w,w,w,w,w,w,,,,w,w,w,w,w,w,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,w,w,w,w,w,w,w,w,w
-3,w,w,w,w,w,w,w,w,,,,w,w,w,w,w,w,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,w,w,w,w,w
-4,w,w,w,w,w,w,,,,L,,,,w,w,w,w,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w
-5,w,w,w,w,w,w,,,,,,,,w,w,w,w,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w
-6,w,w,w,w,,,,,,,,,,,,w,w,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w
-7,w,w,w,w,,,,,,,,,,,,w,w,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,,,w,w
-8,w,w,,,,,,,,,,,,,,,,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,,,w,w
-9,w,w,,,,,,,,,,,,,,,,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w
-10,w,,,,,,,,,,,,,,,,,,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w
-11,w,,,,,,,,,,,,,,,,,,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w
-12,w,w,,,,,,,,,,,,,,,,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w
-13,w,w,w,w,,,,,,,,,,,,w,w,w,w,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
-14,w,w,w,w,,,,,,,,,,,,w,w,w,w,p,,,,,,,,,,,ST,ST,ST,ST,w,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
-15,w,w,w,w,w,w,w,w,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,ST,ST,ST,ST,w,w,w,w,w,w,w,w,w,w,w,,,,,w,w,w,w,w,w,w,w,w,w,w,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
-16,w,w,w,w,w,w,w,w,,,,w,w,w,w,w,w,w,w,,,,,,,WO,WO,,,,,,,,w,,,,,,,,,,,,,,,,,,,w,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w
-17,,,,,,,w,w,,,,w,w,w,w,w,w,w,w,,,,,,,WO,WO,,,,,,,,w,,,,,,,,,,,,,,,,,,,w,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w
-18,,,,,,,w,w,,,,w,w,w,w,w,w,w,w,,,,,,,WO,WO,,,,,,,,w,,,,,,,,,,,,,,,,,,,w,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w
-19,,,,,,,w,w,,,,w,w,w,w,w,w,w,w,,,,,,,WO,WO,,,,,,,,w,,,,,,,,,,,,,,,,,,,w,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
